resort,ds,Year,Week,prop_hat,prop_lo,prop_hi,y_abs_hat,y_abs_lo,y_abs_hi
Thredbo,2026-06-23,2026,3,0.03421923877674321,0.012599569566505209,0.04365086126328918,11195.906767029954,1502.3787676122092,22965.40750542455
Thredbo,2026-06-30,2026,4,0.07085005905524915,0.0730090574338505,0.07104379815178222,23180.838732165128,8705.635311827697,37377.264229628294
Thredbo,2026-07-07,2026,5,0.10631616731405007,0.13299653020225974,0.09469492792021786,34784.69830500854,15858.570571581307,49820.49713217364
Thredbo,2026-07-14,2026,6,0.1141941810818931,0.14961983465058465,0.09989164859533961,37362.23979357298,17840.7414321724,52554.57395315967
Thredbo,2026-07-21,2026,7,0.09958408669895095,0.12177980587207966,0.0896227261409899,32582.08510818883,14521.082938621155,47151.93166889205
Thredbo,2026-07-28,2026,8,0.08601225561158761,0.09579874611266316,0.08048281986688152,28141.631113774743,11423.088809807581,42343.282628035326
Thredbo,2026-08-04,2026,9,0.08432066729873698,0.09446166877555946,0.07719100843027285,27588.17447020543,11263.655061589685,40611.408642393864
Thredbo,2026-08-11,2026,10,0.08567010399566986,0.0991339977103283,0.07839978247282328,28029.685385905213,11820.785823068858,41247.36375681211
Thredbo,2026-08-18,2026,11,0.0799651278717784,0.09105909799487476,0.07694342877745264,26163.121924106905,10857.93087639307,40481.15307692466
Thredbo,2026-08-25,2026,12,0.06813345395071106,0.06712737019056367,0.0689735291025383,22292.015410533633,8004.300080857521,36288.062986267265
Thredbo,2026-09-01,2026,13,0.0545304572258663,0.04070029536038108,0.056797516181919604,17841.364591641555,4853.122899335909,29882.07028828373
Thredbo,2026-09-08,2026,14,0.03958836649608051,0.021714026130349468,0.047373178724136156,12952.586796009187,2589.1909755661936,24923.777509564683
Thredbo,2026-09-15,2026,15,0.028573043433038944,0.0,0.04049363283039549,9348.575297473284,0.0,21304.33976355858
